keyword,search_volume,competition_level,current_cpc,commercial_intent,target_cpa,conversion_rate,target_cpc,adjusted_cpc,priority,bid_strategy,expected_roas,budget_allocation,recommendation
Zomato Rajasthan,5000,0.6,2.0,0.0,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
dining table,5000,0.6,2.0,0.0,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
dining chair,5000,0.6,2.0,0.0,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
dining room,5000,0.6,2.0,0.0,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
service plus,5000,0.6,2.0,0.15,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
servicenow developer,5000,0.6,2.0,0.15,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
service centre,5000,0.6,2.0,0.15,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
people first,5000,0.6,2.0,0.0,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
peoplestrong login,5000,0.6,2.0,0.0,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
people work,5000,0.6,2.0,0.0,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
order book,5000,0.6,2.0,0.15,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
options trading,5000,0.6,2.0,0.0,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
options chain,5000,0.6,2.0,0.0,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
options angamaly,5000,0.6,2.0,0.0,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
options perumbavoor,5000,0.6,2.0,0.0,50.0,0.02,1.0,1.16,medium,balanced,1.73,0.11550000000000002,Medium priority - balanced bidding recommended
servicenow,10000,0.8,3.0,0.15,50.0,0.02,1.0,1.32,medium,aggressive,1.52,0.264,Medium priority - balanced bidding recommended
peoplestrong,10000,0.8,3.0,0.0,50.0,0.02,1.0,1.32,medium,aggressive,1.52,0.264,Medium priority - balanced bidding recommended
peopleperhour,10000,0.8,3.0,0.0,50.0,0.02,1.0,1.32,medium,aggressive,1.52,0.264,Medium priority - balanced bidding recommended
